a9a338de-6ddd-11ea-9ba4-ccda262736ce	How many elements, in total, are joined together to form magnesium chloride?	start physical_unit 2 2 number none qc_end substance 10 11 qc_end end
ac2fcb66-6ddd-11ea-bcfe-ccda262736ce	Given that the molar mass of NaCl 58.44 g/mol, what is the molarity of a solution that contains 87.75 g of NaCl in 500 mL of solution?	start physical_unit 6 6 molarity mol/l qc_end physical_unit 6 6 7 8 molar_mass qc_end physical_unit 6 6 18 19 mass qc_end physical_unit 15 15 23 24 volume qc_end end
ac4640d4-6ddd-11ea-ae73-ccda262736ce	Given the balanced equation, LiOH + KCl -> LiCl + KOH, what is the theoretical yield of lithium chloride if you start this reaction with 20.0 grams of lithium hydroxide?	start physical_unit 17 18 theoretical_yield g qc_end chemical_equation 4 10 qc_end physical_unit 28 29 25 26 mass qc_end end
acde2e29-6ddd-11ea-9092-ccda262736ce	What number of magnesium ATOMS are contained in a 12 g mass of the metal?	start physical_unit 3 4 number none qc_end physical_unit 13 14 9 10 mass qc_end end
ac056fe2-6ddd-11ea-a8ed-ccda262736ce	What is the volume expressed by a 74.3 g mass of carbon dioxide at 294 K enclosed in a piston at a pressure of 439 mmHg?	start physical_unit 11 12 volume l qc_end physical_unit 11 12 7 8 mass qc_end physical_unit 11 12 14 15 temperature qc_end physical_unit 11 12 24 25 pressure qc_end end
a8e4e0db-6ddd-11ea-9851-ccda262736ce	What is the percent composition by mass of oxygen in magnesium oxide?	start physical_unit 8 11 mass_percent none qc_end substance 10 11 qc_end end
acfb2ab7-6ddd-11ea-923a-ccda262736ce	A gas cylinder with a volume of 3.00 dm^3 contains 8.00 moles of oxygen gas at a temperature of 50.0 K. What is the pressure inside the cylinder?	start physical_unit 13 14 pressure atm qc_end physical_unit 13 14 7 8 volume qc_end physical_unit 13 14 10 11 mole qc_end physical_unit 13 14 19 20 temperature qc_end end
a872095b-6ddd-11ea-a835-ccda262736ce	Using Graham's law of effusion, if CO2 takes 32 sec to effuse, how long will hydrogen take?	start physical_unit 15 15 time s qc_end physical_unit 6 6 8 9 time qc_end c_other OTHER qc_end end
aada3818-6ddd-11ea-8192-ccda262736ce	What is the molarity of a solution made of 2.5 moles of KNO3 in 5 L of water?	start physical_unit 6 6 molarity mol/l qc_end physical_unit 12 12 9 10 mole qc_end physical_unit 17 17 14 15 volume qc_end end
ac4565c0-6ddd-11ea-87ae-ccda262736ce	How many moles of argon are in 452 g of argon?	start physical_unit 4 4 mole mol qc_end physical_unit 4 4 7 8 mass qc_end end
a8e2c0b4-6ddd-11ea-bd5e-ccda262736ce	How much heat must be removed to freeze a tray of ice cubes at 0 °C? The mass of the water is 225 g.	start physical_unit 11 12 heat_energy kcal qc_end physical_unit 11 12 14 15 temperature qc_end physical_unit 20 20 22 23 mass qc_end end
aa4eb08a-6ddd-11ea-83ba-ccda262736ce	Diphosphorus pentoxide reacts with water to produce phosphoric acid ( H3PO4). How do you write the balanced equation for this reaction?	start chemical_equation qc_end substance 0 1 qc_end substance 4 4 qc_end chemical_equation 10 10 qc_end end
a9cd71f8-6ddd-11ea-b23c-ccda262736ce	What is the pH of 1.2 × 10^(-3) M HBr solution?	start physical_unit 9 10 ph none qc_end physical_unit 9 10 5 8 molarity qc_end end
ab4d69c2-6ddd-11ea-bc6a-ccda262736ce	What is the mass of water produced when 9.33 g of butane reacts with excess oxygen?	start physical_unit 5 5 mass g qc_end physical_unit 11 11 8 9 mass qc_end c_other OTHER qc_end end
aa9f9388-6ddd-11ea-aa80-ccda262736ce	How many carbon dioxide molecules are needed to make a single glucose molecule?	start physical_unit 2 4 number none qc_end end
ace02b36-6ddd-11ea-8e90-ccda262736ce	What is the mole ratio of Fe3O4 to Fe in the equation 3 Fe + 4 H2O -> Fe3O4 + 4 H2?	start physical_unit 6 8 mole_fraction none qc_end chemical_equation 12 21 qc_end end
a8f0eb2c-6ddd-11ea-ac83-ccda262736ce	What is the pH of a 0.150 M NaOH solution?	start physical_unit 8 9 ph none qc_end physical_unit 8 9 6 7 molarity qc_end end
abe1e5dc-6ddd-11ea-9fab-ccda262736ce	How many moles are in 3.70 × 10^(-1) g of boron?	start physical_unit 10 10 mole mol qc_end physical_unit 10 10 5 8 mass qc_end end
abef1bf2-6ddd-11ea-aef3-ccda262736ce	If it takes 41.72 joules to heat a piece of gold weighing 18.69 g from 10.0 °C to 27.0 °C, what is the specific heat of the gold?	start physical_unit 26 27 specific_heat j/(°c_·_g) qc_end physical_unit 26 27 3 4 heat_energy qc_end physical_unit 26 27 12 13 mass qc_end physical_unit 26 27 15 16 temperature qc_end physical_unit 26 27 18 19 temperature qc_end end
ad118c5e-6ddd-11ea-ac64-ccda262736ce	Given Ksp ZnCO3 = 1.46 × 10^(-10), what is the ppm concentration of a saturated solution?	start physical_unit 14 15 concentration ppm qc_end physical_unit 2 2 4 6 equilibrium_constant_k qc_end end
ac6f52ca-6ddd-11ea-8a88-ccda262736ce	Given the reaction 2 C3H7OH + 9 O2 -> CO2 + 8 H2O, how many moles of oxygen are needed to react with 3.40 mol C3H7OH?	start physical_unit 17 17 mole mol qc_end chemical_equation 3 12 qc_end physical_unit 4 4 23 24 mole qc_end end
ad27b9f4-6ddd-11ea-8a3c-ccda262736ce	A 5.00 L container contains CH4 at 35 °C with a total pressure of 1.81 atm. What is the pressure of the gas when it expands to 25.0 L at 25 °C?	start physical_unit 5 5 pressure atm qc_end physical_unit 5 5 1 2 volume qc_end physical_unit 5 5 7 8 temperature qc_end physical_unit 5 5 14 15 total_pressure qc_end physical_unit 5 5 27 28 volume qc_end physical_unit 5 5 30 31 temperature qc_end end
ad0c82e1-6ddd-11ea-9422-ccda262736ce	If a buffer made by dissolving 20.0 g of sodium benzoate (144 g/mol) and 10 grams of benzoic acid (122 g/mol) in water to a final volume of 500.0 ml, what is the pH of the buffer?	start physical_unit 35 36 ph none qc_end physical_unit 9 10 6 7 mass qc_end physical_unit 9 10 11 12 molar_mass qc_end physical_unit 17 18 14 15 mass qc_end physical_unit 17 18 19 20 molar_mass qc_end substance 22 22 qc_end physical_unit 35 36 28 29 volume qc_end end
ab7694b4-6ddd-11ea-97f0-ccda262736ce	An aqueous solution of lead II phosphate is added to an aqueous solution of potassium iodide. When the two colorless solutions mix, a bright yellow precipitate forms in a double replacement reaction. What is the balanced chemical equation?	start chemical_equation qc_end c_other OTHER qc_end end
aad18ed3-6ddd-11ea-b445-ccda262736ce	What mass of ammonium sulfate can be prepared from a 30 g mass of ammonia, and a 196 g mass of sulfuric acid?	start physical_unit 3 4 mass g qc_end physical_unit 14 14 10 11 mass qc_end physical_unit 21 22 17 18 mass qc_end end
ab6600c8-6ddd-11ea-9f26-ccda262736ce	What is the formula mass for carbon tetrafloride?	start physical_unit 6 7 molecular_weight amu qc_end substance 6 7 qc_end end
aaf573ee-6ddd-11ea-a5b2-ccda262736ce	Find the molecular formula of an acid with a molar mass of 98 grams per moles and the percentage composition of the elements in the acid is as such: hydrogen = 2%, sulphur = 33%, oxygen = 65% ?	start chemical_formula qc_end physical_unit 24 25 12 15 molar_mass qc_end end
a875a94c-6ddd-11ea-b15f-ccda262736ce	How many oxygen atoms in an 8 mole quantity of carbon dioxide?	start physical_unit 2 3 number none qc_end physical_unit 10 11 6 7 quantity qc_end end
ab230f6f-6ddd-11ea-8949-ccda262736ce	If I have 45 liters of helium in a balloon at 25 degress celcius and increase the tempurate to 55 degrees celcius what will the new volume be?	start physical_unit 6 6 volume l qc_end physical_unit 6 6 3 4 volume qc_end physical_unit 6 6 11 13 temperature qc_end physical_unit 6 6 19 21 temperature qc_end end
aca33a69-6ddd-11ea-85c1-ccda262736ce	What is the percentage of water in MnCO3.8H2O?	start physical_unit 5 7 percent none qc_end chemical_equation 7 7 qc_end end
a92f2239-6ddd-11ea-a350-ccda262736ce	How much energy does the oxidation of 6.03 L of nitrogen absorb?	start physical_unit 10 10 heat_energy kj qc_end physical_unit 10 10 7 8 volume qc_end end
a96e467a-6ddd-11ea-8513-ccda262736ce	To reduce 16 ounces of a 25% solution of antiseptic to a 10% solution, how much distilled water should a nurse add?	start physical_unit 16 17 mass oz qc_end physical_unit 7 7 2 3 mass qc_end physical_unit 9 9 6 6 percent qc_end physical_unit 9 9 12 12 percent qc_end end
ac17b45a-6ddd-11ea-ae82-ccda262736ce	What is the molecular formula of a material with percentage composition C: 40.5%, H: 6.67%, O: 53.33%, and molecular mass of 180.0 g/mol?	start chemical_formula qc_end physical_unit 7 7 21 22 molecular_weight qc_end end
aabe432e-6ddd-11ea-ba2f-ccda262736ce	What is the molarity of a 500.0 mL solution containing 0.75 moles of solute?	start physical_unit 8 8 molarity mol/l qc_end physical_unit 8 8 6 7 volume qc_end physical_unit 13 13 10 11 mole qc_end end
ace0fc68-6ddd-11ea-bb71-ccda262736ce	A mole of O atoms contains how many atoms?	start physical_unit 3 4 number none qc_end end
a9e1faad-6ddd-11ea-9151-ccda262736ce	How many grams in 113.5 moles of LiNO3?	start physical_unit 7 7 mass g qc_end physical_unit 7 7 4 5 mole qc_end end
a9664dca-6ddd-11ea-ac17-ccda262736ce	An NaOH solution contains 1.90 mol of NaOH, and its concentration is 0.555 M. What is its volume?	start physical_unit 1 2 volume l qc_end physical_unit 1 1 4 5 mole qc_end physical_unit 1 2 12 13 concentration qc_end end
a8f641cd-6ddd-11ea-967e-ccda262736ce	A 15 g mass of solute was dissolved in a mass of water to give a 15% w/w solution. What was the mass of water used to make the solution?	start physical_unit 12 12 mass g qc_end physical_unit 5 5 1 2 mass qc_end physical_unit 18 18 16 16 w/w qc_end substance 12 12 qc_end end
ac5f0d6e-6ddd-11ea-b32e-ccda262736ce	What is the pH of a 0.043 M HCl solution?	start physical_unit 8 9 ph none qc_end physical_unit 8 9 6 7 molarity qc_end end
a9b4864b-6ddd-11ea-80f4-ccda262736ce	How many carbon atoms are represented by (C2H5)2NCH3?	start physical_unit 2 3 number none qc_end chemical_equation 7 7 qc_end end
a91c20ac-6ddd-11ea-805e-ccda262736ce	What is the [OH−] for a solution at 25 °C that has a [H3O+] of 5.36 × 10^(-5) M?	start physical_unit 5 6 [oh-] mol/l qc_end physical_unit 5 6 15 18 [h3o+] qc_end physical_unit 5 6 8 9 temperature qc_end end
aa8ba6f8-6ddd-11ea-9824-ccda262736ce	What is the molarity of a solution of ammonium chloride prepared by diluting 50.00 mL of a 3.79 M NH4Cl solution to 2.00 L?	start physical_unit 19 20 molarity mol/l qc_end physical_unit 19 20 17 18 molarity qc_end physical_unit 19 20 13 14 volume qc_end physical_unit 19 20 22 23 volume qc_end end
a8d86d40-6ddd-11ea-9a24-ccda262736ce	What is the pH of a solution comprising 100 mL volumes EACH of HCl(aq) at 0.20 mol/L and NaOH(aq) at 0.18 mol/L?	start physical_unit 6 6 ph none qc_end physical_unit 13 13 8 9 volume qc_end physical_unit 13 13 15 16 molarity qc_end physical_unit 18 18 8 9 volume qc_end physical_unit 18 18 20 21 molarity qc_end end
ac5c1a06-6ddd-11ea-8619-ccda262736ce	A compound is 53.31% C, 11.18% H, and 35.51% O by mass. What is its empirical formula?	start chemical_formula qc_end end
acde559c-6ddd-11ea-8e9e-ccda262736ce	To what volume should you dilute 55 mL of a 11 M stock HNO3 solution to obtain a 0.137 M HNO3 solution?	start physical_unit 13 14 volume l qc_end physical_unit 12 14 6 7 volume qc_end physical_unit 12 14 10 11 molarity qc_end physical_unit 13 14 18 19 molarity qc_end end
a96c4d34-6ddd-11ea-8139-ccda262736ce	What is the specific heat of a substance if 1560 cal are required to raise the temperature of a 312 g sample by 15 °C?	start physical_unit 6 7 specific_heat cal/(g_·_°c) qc_end physical_unit 6 7 9 10 energy qc_end physical_unit 6 7 23 24 temperature qc_end physical_unit 6 7 19 20 mass qc_end end
aa4b0bba-6ddd-11ea-96fd-ccda262736ce	How much energy is required to convert 429 g of water to steam at 156 °C? Cwater = 4.184 J/(°C * mol); Cvapour = 2.078 J/(°C * mol); delta_{vap}H = 2257 J/g.	start physical_unit 10 10 energy kj qc_end physical_unit 10 10 7 8 mass qc_end physical_unit 12 12 14 15 temperature qc_end physical_unit 10 10 18 21 specific_heat_capacity qc_end end
ab23ab65-6ddd-11ea-8790-ccda262736ce	Gas samples A, B, C are contained at STP. Partial pressure of sample A is 38.0 kPa and sample B is 19.0 kPa. What is the partial pressure of sample C?	start physical_unit 29 30 partial_pressure kpa qc_end c_other STP qc_end physical_unit 12 13 15 16 partial_pressure qc_end physical_unit 18 19 21 22 partial_pressure qc_end end
abd0a0b1-6ddd-11ea-abdc-ccda262736ce	How does chlorate oxidize hydrazine to give NO and chloride anion?	start chemical_equation qc_end substance 2 2 qc_end substance 4 4 qc_end chemical_equation 7 7 qc_end substance 9 10 qc_end end
a8f5f45b-6ddd-11ea-a63d-ccda262736ce	If 10 drops of pyruvic acid (HC3H3O3) are titrated with 20 drops of 0.25 M NaOH, what is the molar concentration of the pyruvic acid solution?	start physical_unit 22 25 molarity mol/l qc_end physical_unit 15 15 13 14 molarity qc_end physical_unit 15 15 10 11 volume qc_end physical_unit 6 6 1 2 volume qc_end end
ab1bc978-6ddd-11ea-9816-ccda262736ce	When 2 moles of H2(g) and 1 mole of O2(g) react to give liquid water, 572 kJ of heat evolve. 2 H2(g) + O2(g) -> 2 H2O(l) ; deltaH = -572 kJ a) What is the themochemical eq. for 1 mole of liquid water?	start physical_unit 13 14 thermochemical_equation kj qc_end physical_unit 4 4 1 2 mole qc_end physical_unit 9 9 6 7 mole qc_end chemical_equation 20 26 qc_end physical_unit 13 14 6 7 mole qc_end end
a9fb9f8a-6ddd-11ea-9658-ccda262736ce	If 26.03 g of water showed a temperature increase of 102 °C upon addition of hot metal, what is the heat change for the water?	start physical_unit 4 4 heat_energy kj qc_end physical_unit 4 4 1 2 mass qc_end physical_unit 4 4 10 11 temperature qc_end end
abfd987a-6ddd-11ea-b7c9-ccda262736ce	An exothermic reaction releases 86.5 kJ. How many kilocalories of energy are released?	start physical_unit 1 2 heat_energy kcal qc_end physical_unit 1 2 4 5 heat_energy qc_end end
a989abdc-6ddd-11ea-b9f0-ccda262736ce	Water (2290 g) is heated until it just begins to boil. If the water absorbs 5.47 × 10^5 J of heat in the process what was the initial temperature of the water?	start physical_unit 12 13 temperature °c qc_end c_other OTHER qc_end physical_unit 0 0 1 2 mass qc_end physical_unit 12 13 15 18 heat_energy qc_end end
a982f9ac-6ddd-11ea-a94d-ccda262736ce	Once ignited, it will produce 120 cubic feet of O2 at 0.5 psi, enough to support 100 persons. After balancing the equation, how do you compute the mass of NaClO3 required to generate the moles of gas needed to support the 100 crew members at 300 K? On submarines, chlorate candles are used to produce emergency oxygen. Once ignited, it decomposes via: NaClO3(s) -> NaCl(s) + O2(g)	start physical_unit 29 29 mass g qc_end physical_unit 9 9 11 12 pressure qc_end physical_unit 9 9 5 7 volume qc_end physical_unit 42 43 16 16 number qc_end physical_unit 20 21 45 46 temperature qc_end c_other OTHER qc_end chemical_equation 62 66 qc_end end
aaeabe8a-6ddd-11ea-b6f4-ccda262736ce	An 0.500 L volume of ammonia/ammonium buffer has pH = 9.15. If [NH3] = 0.10 mol/L, what MASS of ammonium chloride does this buffer contain?	start physical_unit 19 20 mass g qc_end physical_unit 5 6 1 2 volume qc_end physical_unit 5 6 10 10 ph qc_end physical_unit 5 6 14 15 [nh3] qc_end end
ad0ea5c6-6ddd-11ea-919a-ccda262736ce	How many chloride ions are there in 4.50 mol of aluminum chloride?	start physical_unit 2 3 number none qc_end physical_unit 10 11 7 8 mole qc_end end
abfb77a9-6ddd-11ea-95a3-ccda262736ce	What would be the volume of 6.00 g of helium gas at STP?	start physical_unit 9 10 volume l qc_end physical_unit 9 10 6 7 mass qc_end c_other STP qc_end end
ab68c69c-6ddd-11ea-bc13-ccda262736ce	What is the molality of a solution that contains 3 g of glucose dissolved in 30 g of water?	start physical_unit 6 6 molality mol/kg qc_end physical_unit 12 12 9 10 mass qc_end physical_unit 18 18 15 16 mass qc_end end
a8d7a974-6ddd-11ea-9da6-ccda262736ce	How fast is the rate of effusion of hydrogen compared to that of oxygen?	start physical_unit 6 6 percent none qc_end substance 8 8 qc_end substance 13 13 qc_end end
a9b2ac7e-6ddd-11ea-8eb1-ccda262736ce	What is the formula for barium fluoride?	start chemical_formula qc_end substance 5 6 qc_end end
a92d9c9c-6ddd-11ea-ac27-ccda262736ce	How do you write the formula for this reaction: Potassium chlorate decomposes to potassium chloride and oxygen gas?	start chemical_equation qc_end substance 9 10 qc_end substance 13 14 qc_end substance 16 17 qc_end end
acf55fc8-6ddd-11ea-90ec-ccda262736ce	What is the molar mass of K?	start physical_unit 6 6 molar_mass g/mol qc_end chemical_equation 6 6 qc_end end
acbce1ed-6ddd-11ea-b5dd-ccda262736ce	Determine the volume occupied by 2.50 g of hydrogen gas at a pressure of 828 mm of mercury and a temperature of 35.0 °C?	start physical_unit 8 9 volume l qc_end physical_unit 8 9 5 6 mass qc_end physical_unit 8 9 22 23 temperature qc_end physical_unit 8 9 14 17 pressure qc_end end
abe652a0-6ddd-11ea-8a3a-ccda262736ce	How do you balance NH3(g) + O2(g) -> N2(g) + H2O(g)?	start chemical_equation qc_end chemical_equation 4 10 qc_end end
a83f6f1e-6ddd-11ea-9c45-ccda262736ce	When steam (hot water) is passed over iron, hydrogen gas and iron (lll) oxide are formed. What mass of steam would be needed to react completely with 100.0 g of iron?	start physical_unit 1 1 mass g qc_end physical_unit 7 7 27 28 mass qc_end c_other OTHER qc_end c_other OTHER qc_end end
aada862e-6ddd-11ea-8619-ccda262736ce	A chemist weighed out 3.89 g of nickel. What is the number of moles of nickel she weighed out?	start physical_unit 7 7 mole mol qc_end physical_unit 7 7 4 5 mass qc_end end
ac9747b6-6ddd-11ea-9a53-ccda262736ce	How do you find the empirical formulas for 65.2% Sc, 34.8% O?	start chemical_formula qc_end end
ace2becc-6ddd-11ea-9bd9-ccda262736ce	How would you balance H2 + O2 -> H2O?	start chemical_equation qc_end chemical_equation 4 8 qc_end end
a86ef11e-6ddd-11ea-b61a-ccda262736ce	In the reaction K2CrO4(aq) + PbCl2(aq) -> 2 KCl(aq) + PbCrO4(s), how many grams of PbCrO4 will precipitate out from the reaction between 25.0 milliliters of 3.0 M K2CrO4 in an excess of PbCl2?	start physical_unit 10 10 mass g qc_end c_other OTHER qc_end chemical_equation 3 10 qc_end physical_unit 3 3 23 24 volume qc_end physical_unit 3 3 26 27 molarity qc_end end
aa7962aa-6ddd-11ea-9a47-ccda262736ce	How many grams of Fe2O3 are there in 0.500 mole of Fe2O3?	start physical_unit 4 4 mass g qc_end physical_unit 4 4 8 9 mole qc_end end
a979840c-6ddd-11ea-a99a-ccda262736ce	How much thermal energy is absorbed by 750 grams of water when its temperature increases from 15.4 °C to 86.3 °C?	start physical_unit 10 10 heat_energy kj qc_end physical_unit 10 10 7 8 mass qc_end physical_unit 10 10 16 17 temperature qc_end physical_unit 10 10 19 20 temperature qc_end end
a9b2de54-6ddd-11ea-9865-ccda262736ce	The value of Ksp for SrSO4 is 2.8 × 10^(-7). What is the solubility of SrSO4 moles per liter?	start physical_unit 5 5 solubility mol/l qc_end physical_unit 5 5 7 9 equilibrium_constant_k qc_end end
ac614a37-6ddd-11ea-ad16-ccda262736ce	How do you write the equation for the following reaction: solid diphosphorus pentaoxide reacts with water to form phosphoric acid?	start chemical_equation qc_end substance 10 12 qc_end substance 15 15 qc_end substance 18 19 qc_end end
a8f5f45a-6ddd-11ea-995a-ccda262736ce	If a chemist needs to make 35.05 g of CuI2, how many mL of a 3.3 M solution of NaI must he use, assuming there is excess copper (II) nitrate?	start physical_unit 17 17 volume ml qc_end physical_unit 9 9 6 7 mass qc_end physical_unit 19 19 15 16 molarity qc_end c_other OTHER qc_end end
a9130cc2-6ddd-11ea-9817-ccda262736ce	Balance this reaction using ion electron method in shortest way possible . but must be clear .. Fe^2+ + MnO4- + H+ -> Fe^3+ + Mn^2+ + H2O ?	start chemical_equation qc_end chemical_equation 17 27 qc_end end
ad05f32e-6ddd-11ea-b267-ccda262736ce	A sample of sulfur having a mass of 1.28 g combines with oxygen to form a compound with a mass 3.20 g. What is the empirical formula of the compound?	start chemical_formula qc_end physical_unit 3 3 8 9 mass qc_end physical_unit 28 29 20 21 mass qc_end substance 12 12 qc_end end
aa142b0c-6ddd-11ea-b3a4-ccda262736ce	Can you write and balance the equation for the complete combustion of ethane, C2H6?	start chemical_equation qc_end chemical_equation 13 13 qc_end end
a8f61adc-6ddd-11ea-b3df-ccda262736ce	If the balloon had a volume of 2 L at a depth of 40 m, what was the original volume of the balloon if we assume the pressure at the surface of the water is 14.7 psi?	start physical_unit 1 2 volume l qc_end physical_unit 1 2 7 8 volume qc_end physical_unit 1 2 13 14 depth qc_end physical_unit 33 33 35 36 pressure qc_end end
