HitID	URL	QuestionText	QuestionVariable	Answer	Condition	Knowledge	Comment	IsSkip	Debug_AnnotationFrom	Debug_RawText	Debug_HasOverride	QuestionTextProcessed	QuestionVariableExpand	ConditionExpand	HasLabelBackIssue	LabelBackIssue	hasAdhocFixForLabelBack
167052250	https://socratic.org/questions/5919b86211ef6b7ce57ca6c8	How much energy is required to heat 72 g of water by 75 ℃?	[{"type":"physical unit","value":"Required energy [OF] water [IN] kJ"}]	[{"type":"physical unit","value":"22.68 kJ"}]	[{"type":"physical unit","value":"Mass [OF] water [=] \\pu{72 g}"},{"type":"physical unit","value":"Temperature [OF] water [=] \\pu{75 ℃}"}]	[]		0	QAReview	How much energy is required to heat #72# #g# of water by #75^o# #C#?	0	How much energy is required to heat 72 g of water by 75 °C?	[{"type":"physical unit","value":"Required energy [OF] water [IN] kJ","valueExpand":[{"tag":"property_qv","content":"Required energy","slot":"ActionToClass"},{"tag":"subject_qv","content":"water","slot":"44_49"},{"tag":"unit_qv","content":"kJ","slot":"ActionToClass"}]}]	[{"type":"physical unit","value":"Mass [OF] water [=] \\\\pu{72 g}","valueExpand":[{"tag":"property_condition","content":"Mass","slot":"ActionToClass"},{"tag":"subject_condition","content":"water","slot":"44_49"},{"tag":"value_condition","content":"72 g","slot":"36_40"}]},{"type":"physical unit","value":"Temperature [OF] water [=] \\\\pu{75 ℃}","valueExpand":[{"tag":"property_condition","content":"Temperature","slot":"ActionToClass"},{"tag":"subject_condition","content":"water","slot":"44_49"},{"tag":"value_condition","content":"75 °C","slot":"53_58"}]}]	0		0
167052251	https://socratic.org/questions/how-much-heat-is-given-off-when-10-grams-of-water-are-cooled-from-50-c-to-40-c	How much heat is given off when 10 grams of water are cooled from 50 °C to 40 °C?	[{"type":"physical unit","value":"Heat [OF] water [IN] J"}]	[{"type":"physical unit","value":"420.00 J"}]	[{"type":"physical unit","value":"Mass [OF] water [=] \\pu{10 grams}"},{"type":"physical unit","value":"Temperature1 [OF] water [=] \\pu{50 °C}"},{"type":"physical unit","value":"Temperature2 [OF] water [=] \\pu{40 °C}"}]	[]		0	QAReview	How much heat is given off when 10 grams of water are cooled from 50°C to 40°C? 	0	How much heat is given off when 10 grams of water are cooled from 50 °C to 40 °C?	[{"type":"physical unit","value":"Heat [OF] water [IN] J","valueExpand":[{"tag":"property_qv","content":"Heat","slot":"ActionToClass"},{"tag":"subject_qv","content":"water","slot":"44_49"},{"tag":"unit_qv","content":"J","slot":"ActionToClass"}]}]	[{"type":"physical unit","value":"Mass [OF] water [=] \\\\pu{10 grams}","valueExpand":[{"tag":"property_condition","content":"Mass","slot":"ActionToClass"},{"tag":"subject_condition","content":"water","slot":"44_49"},{"tag":"value_condition","content":"10 grams","slot":"32_40"}]},{"type":"physical unit","value":"Temperature1 [OF] water [=] \\\\pu{50 °C}","valueExpand":[{"tag":"property_condition","content":"Temperature1","slot":"ActionToClass"},{"tag":"subject_condition","content":"water","slot":"44_49"},{"tag":"value_condition","content":"50 °C","slot":"66_71"}]},{"type":"physical unit","value":"Temperature2 [OF] water [=] \\\\pu{40 °C}","valueExpand":[{"tag":"property_condition","content":"Temperature2","slot":"ActionToClass"},{"tag":"subject_condition","content":"water","slot":"44_49"},{"tag":"value_condition","content":"40 °C","slot":"75_80"}]}]	0		0
167052253	https://socratic.org/questions/what-is-the-mass-in-grams-of-7-20-mol-of-antimony	What is the mass in grams of 7.20 mol of antimony?	[{"type":"physical unit","value":"Mass [OF] antimony [IN] grams"}]	[{"type":"physical unit","value":"876.67 grams"}]	[{"type":"physical unit","value":"Mole [OF] antimony [=] \\pu{7.20 mol}"}]	[]		0	QAReview	What is the mass in grams of 7.20 mol of antimony?	0	What is the mass in grams of 7.20 mol of antimony?	[{"type":"physical unit","value":"Mass [OF] antimony [IN] grams","valueExpand":[{"tag":"property_qv","content":"Mass","slot":"ActionToClass"},{"tag":"subject_qv","content":"antimony","slot":"41_49"},{"tag":"unit_qv","content":"grams","slot":"ActionToClass"}]}]	[{"type":"physical unit","value":"Mole [OF] antimony [=] \\\\pu{7.20 mol}","valueExpand":[{"tag":"property_condition","content":"Mole","slot":"ActionToClass"},{"tag":"subject_condition","content":"antimony","slot":"41_49"},{"tag":"value_condition","content":"7.20 mol","slot":"29_37"}]}]	0		0
167052254	https://socratic.org/questions/how-many-kilograms-of-salt-nacl-can-be-dissolved-in-2-liters-of-water-at-25-degr	How many kilograms of salt (NaCl) can be dissolved in 2 liters of water at 25 degrees Celsius? The solubility product constant, Ksp, is 38.65.	[{"type":"physical unit","value":"Mass [OF] salt (NaCl) [IN] kilograms"}]	[{"type":"physical unit","value":"0.73 kilograms"}]	[{"type":"physical unit","value":"Volume [OF] water [=] \\pu{2 liters}"},{"type":"physical unit","value":"Temperature [OF] water [=] \\pu{25 degrees Celsius}"},{"type":"other","value":"The solubility product constant, Ksp, is 38.65."}]	[]		0	QAReview	How many kilograms of salt (NaCl) can be dissolved in 2 liters of water at 25 degrees Celsius?  The solubility product constant, Ksp, is 38.65	0	How many kilograms of salt (NaCl) can be dissolved in 2 liters of water at 25 degrees Celsius? The solubility product constant, Ksp, is 38.65.	[{"type":"physical unit","value":"Mass [OF] salt (NaCl) [IN] kilograms","valueExpand":[{"tag":"property_qv","content":"Mass","slot":"ActionToClass"},{"tag":"subject_qv","content":"salt (NaCl)","slot":"22_33"},{"tag":"unit_qv","content":"kilograms","slot":"ActionToClass"}]}]	[{"type":"physical unit","value":"Volume [OF] water [=] \\\\pu{2 liters}","valueExpand":[{"tag":"property_condition","content":"Volume","slot":"ActionToClass"},{"tag":"subject_condition","content":"water","slot":"66_71"},{"tag":"value_condition","content":"2 liters","slot":"54_62"}]},{"type":"physical unit","value":"Temperature [OF] water [=] \\\\pu{25 degrees Celsius}","valueExpand":[{"tag":"property_condition","content":"Temperature","slot":"ActionToClass"},{"tag":"subject_condition","content":"water","slot":"66_71"},{"tag":"value_condition","content":"25 degrees Celsius","slot":"75_93"}]},{"type":"other","value":"The solubility product constant, Ksp, is 38.65.","valueExpand":[{"tag":"other_condition","content":"The solubility product constant, Ksp, is 38.65.","slot":"ActionToClass"}]}]	0		0
167052255	https://socratic.org/questions/what-is-the-formula-for-selenium-dioxide	What is the formula for selenium dioxide?	[{"type":"other","value":"chemical formula"}]	[{"type":"chemical equation","value":"SeO2"}]	[{"type":"substance name","value":"Selenium dioxide"}]	[]		0	QAReview	What is the formula for selenium dioxide?	0	What is the formula for selenium dioxide?	[{"type":"other","value":"chemical formula","valueExpand":[{"tag":"formula_qv","content":"","slot":"ActionToClass"}]}]	[{"type":"substance name","value":"Selenium dioxide","valueExpand":[{"tag":"substance_condition","content":"Selenium dioxide","slot":"24_40"}]}]	0		0
167052256	https://socratic.org/questions/if-it-takes-21-966-j-of-heat-energy-to-warm-750-g-of-water-what-was-the-temperat	If it takes 21,966 J of heat energy to warm 750 g of water, what was the temperature change?	[{"type":"physical unit","value":"Changed temperature [OF] water [IN] ℃"}]	[{"type":"physical unit","value":"6.97 ℃"}]	[{"type":"physical unit","value":"Heat energy [OF] water [=] \\pu{21966 J}"},{"type":"physical unit","value":"Mass [OF] water [=] \\pu{750 g}"}]	[]		0	QAReview	If it takes 21,966 J of heat energy to warm 750 g of water, what was the temperature change? 	0	If it takes 21,966 J of heat energy to warm 750 g of water, what was the temperature change?	[{"type":"physical unit","value":"Changed temperature [OF] water [IN] ℃","valueExpand":[{"tag":"property_qv","content":"Changed temperature","slot":"ActionToClass"},{"tag":"subject_qv","content":"water","slot":"53_58"},{"tag":"unit_qv","content":"°C","slot":"ActionToClass"}]}]	[{"type":"physical unit","value":"Heat energy [OF] water [=] \\\\pu{21966 J}","valueExpand":[{"tag":"property_condition","content":"Heat energy","slot":"ActionToClass"},{"tag":"subject_condition","content":"water","slot":"53_58"},{"tag":"value_condition","content":"21966 J","slot":"-1_-1"}]},{"type":"physical unit","value":"Mass [OF] water [=] \\\\pu{750 g}","valueExpand":[{"tag":"property_condition","content":"Mass","slot":"ActionToClass"},{"tag":"subject_condition","content":"water","slot":"53_58"},{"tag":"value_condition","content":"750 g","slot":"44_49"}]}]	1		0
167052261	https://socratic.org/questions/how-would-you-balance-the-following-chemical-equation-mercury-ii-hydroxide-phosp	How would you balance the following chemical equation: mercury (II) hydroxide + phosphoric acid -> mercury (II) phosphate + water?	[{"type":"other","value":"balanced_equation"}]	[{"type":"chemical equation","value":"3 Hg(OH)2 + 2 H3PO4 -> Hg3(PO4)2 + 6 H2O"}]	[{"type":"chemical equation","value":"mercury (II) hydroxide + phosphoric acid -> mercury (II) phosphate + water"}]	[]		0	QAReview	How would you balance the following chemical equation: mercury (II) hydroxide + phosphoric acid --> mercury (II) phosphate + water?	0	How would you balance the following chemical equation: mercury (II) hydroxide + phosphoric acid -> mercury (II) phosphate + water?	[{"type":"other","value":"balanced_equation","valueExpand":[{"tag":"equation_qv","content":"","slot":"ActionToClass"}]}]	[{"type":"chemical equation","value":"mercury (II) hydroxide + phosphoric acid -\u003e mercury (II) phosphate + water","valueExpand":[{"tag":"ce_condition","content":"mercury (II) hydroxide + phosphoric acid -\u003e mercury (II) phosphate + water","slot":"55_129"}]}]	0		0
167052262	https://socratic.org/questions/what-is-the-mass-of-h-in-c9h10n2	What is the mass % of H in C9H10N2?	[{"type":"physical unit","value":"Mass % [OF] H in C9H10N2"}]	[{"type":"physical unit","value":"6.85%"}]	[{"type":"chemical equation","value":"C9H10N2"}]	[]		0	QAReview	What is the mass % of H in C9H10N2? 	0	What is the mass % of H in C9H10N2?	[{"type":"physical unit","value":"Mass % [OF] H in C9H10N2","valueExpand":[{"tag":"property_qv","content":"Mass %","slot":"ActionToClass"},{"tag":"subject_qv","content":"H in C9H10N2","slot":"22_34"}]}]	[{"type":"chemical equation","value":"C9H10N2","valueExpand":[{"tag":"ce_condition","content":"C9H10N2","slot":"27_34"}]}]	0		0
167052263	https://socratic.org/questions/how-many-grams-of-al-2o-3-would-form-if-12-5-moles-of-al-burned	How many grams of Al2O3 would form if 12.5 moles of Al burned?	[{"type":"physical unit","value":"Mass [OF] Al2O3 [IN] grams"}]	[{"type":"physical unit","value":"637.25 grams"}]	[{"type":"physical unit","value":"Mole [OF] Al [=] \\pu{12.5 moles}"},{"type":"other","value":"burn"}]	[]		0	QAReview	How many grams of #Al_2O_3# would form if 12.5 moles of #Al# burned?	0	How many grams of Al2O3 would form if 12.5 moles of Al burned?	[{"type":"physical unit","value":"Mass [OF] Al2O3 [IN] grams","valueExpand":[{"tag":"property_qv","content":"Mass","slot":"ActionToClass"},{"tag":"subject_qv","content":"Al2O3","slot":"18_23"},{"tag":"unit_qv","content":"grams","slot":"ActionToClass"}]}]	[{"type":"physical unit","value":"Mole [OF] Al [=] \\\\pu{12.5 moles}","valueExpand":[{"tag":"property_condition","content":"Mole","slot":"ActionToClass"},{"tag":"subject_condition","content":"Al","slot":"18_20"},{"tag":"value_condition","content":"12.5 moles","slot":"38_48"}]},{"type":"other","value":"burn","valueExpand":[{"tag":"other_condition","content":"burn","slot":"ActionToClass"}]}]	0		0
167052264	https://socratic.org/questions/while-you-cook-on-your-gas-grill-3-7-grams-of-co-2-are-produced-how-many-moles-o	While you cook on your gas grill, 3.7 grams of CO2 are produced. How many moles of propane, C3H8 are used, using the equation C3H8 + 5 O2 -> 3 CO2 + 4 H2O?	[{"type":"physical unit","value":"Mole [OF] propane C3H8 [IN] moles"}]	[{"type":"physical unit","value":"0.08 moles"}]	[{"type":"physical unit","value":"Mass [OF] CO2 [=] \\pu{3.7 grams}"},{"type":"chemical equation","value":"C3H8 + 5 O2 -> 3 CO2 + 4 H2O"}]	[]		0	QAReview	While you cook on your gas grill, 3.7 grams of #CO_2# are produced. How many moles of propane, #C_3H_8# are used, using the equation #C_3H_8+5O_2 -> 3CO_2+4H_2O#?	0	While you cook on your gas grill, 3.7 grams of CO2 are produced. How many moles of propane, C3H8 are used, using the equation C3H8 + 5 O2 -> 3 CO2 + 4 H2O?	[{"type":"physical unit","value":"Mole [OF] propane C3H8 [IN] moles","valueExpand":[{"tag":"property_qv","content":"Mole","slot":"ActionToClass"},{"tag":"subject_qv","content":"propane C3H8","slot":"-1_-1"},{"tag":"unit_qv","content":"moles","slot":"ActionToClass"}]}]	[{"type":"physical unit","value":"Mass [OF] CO2 [=] \\\\pu{3.7 grams}","valueExpand":[{"tag":"property_condition","content":"Mass","slot":"ActionToClass"},{"tag":"subject_condition","content":"CO2","slot":"47_50"},{"tag":"value_condition","content":"3.7 grams","slot":"34_43"}]},{"type":"chemical equation","value":"C3H8 + 5 O2 -\u003e 3 CO2 + 4 H2O","valueExpand":[{"tag":"ce_condition","content":"C3H8 + 5 O2 -\u003e 3 CO2 + 4 H2O","slot":"126_154"}]}]	1		0
