Degree of dissociation	degree of dissociation
Amount of heat needed	heat energy
Cg	cp
Heat capacity	heat capacity
Added heat	heat energy
Percentage increase	percent
Voltage	voltage
Percentage by mass	mass percent
Value	value
coefficient	coefficient
specific_heat_capacity	specific_heat_capacity
thermal_energy	thermal_energy
cp	cp
equilibrium_constant_k	equilibrium_constant_k
Osmolarity	osmolarity
vapor_pressure	vapor_pressure
freezing_point_temperature	freezing_point_temperature
mole_fraction	mole_fraction
concentration	concentration
equivalent_weight	equivalent_weight
molality	molality
energy	energy
Concentration1	concentration
multiplier	multiplier
ka	ka
density	density
Percent2	percent
Increased temperature2	temperature
degree_of_dissociation	degree_of_dissociation
molecular_weight	molecular_weight
Percent1	percent
volume	volume
atomic_mass	atomic_mass
Number1	number
Increased temperature1	temperature
oxidation_state	oxidation_state
Weight1	mass
mole	mole
kb	kb
molar_mass	molar_mass
mass_percent	mass_percent
pressure	pressure
reaction_enthalpy	reaction_enthalpy
molarity_percent	molarity_percent
molar_enthalpy_of_vaporization	molar_enthalpy_of_vaporization
kf	kf
boiling_point_temperature	boiling_point_temperature
actual_yield	actual_yield
number	number
quantity	quantity
molar_ratio	molar_ratio
ph	ph
solubility	solubility
acid_concentration	acid_concentration
percent	percent
solubility_product	solubility_product
maximum_amount	maximum_amount
heat_capacity	heat_capacity
osmolarity	osmolarity
percent_composition	percent_composition
deltah(rxn)	deltah(rxn)
initial_temperature	initial_temperature
molarity	molarity
percent_yield	percent_yield
total_pressure	total_pressure
o.n	o.n
percent composition	percent composition
normality	normality
molar_solubility	molar_solubility
mm	mm
heat_energy	heat_energy
deltah^{0}_{f}	deltah^{0}_{f}
partial_pressure	partial_pressure
mass	mass
specific_heat	specific_heat
temperature	temperature
voltage	voltage
value	value
theoretical_yield	theoretical_yield
Weight2	mass
Number2	number
avogadro_constant	avogadro_constant
oxidation_number	oxidation_number
mass_concentration	mass_concentration
Percent3	percent
osmotic_pressure	osmotic_pressure
Vapor pressure	vapor pressure
deltag^0	deltag^0
heat_capacity_ratio	heat_capacity_ratio
ratio	ratio
pka	pka
standard_enthalpy	standard_enthalpy
Percent concentration	molarity percent
Mass percentage	mass percent
Charge	charge
Percentage1 by mass	mass percent
Barometric pressure	barometric pressure
Concentration in percent by mass	mass percent
Composition by mass	composition by mass
Percentage by weight	mass percent
Percentage2 by mass	mass percent
Energy took	energy
Increased concentration	concentration
Total volume	volume
Percent by mass	mass percent
